GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;0.5490741;0.407373;0.2535711;
2;0.5490741;0.433523;0.2941344;
3;0.5739919;0.4466295;0.2866753;
4;0.5482091;0.4456334;0.3075826;
5;0.5482091;0.4510064;0.3377387;
6;0.5482091;0.4572362;0.3267841;
7;0.6987823;0.4629066;0.3264638;
8;0.6987823;0.4624397;0.3555852;
9;0.6719994;0.4611102;0.3209819;
10;0.6343939;0.4681164;0.3237584;
11;0.6343939;0.4740893;0.3002346;
12;0.7905782;0.4800942;0.3002346;
13;0.7905782;0.4876824;0.3100544;
14;0.7905782;0.4881921;0.3016779;
15;0.8052792;0.4968748;0.3462848;
16;0.8177251;0.5043982;0.3268704;
17;0.8350811;0.5023457;0.3505127;
18;0.8350811;0.503461;0.3086417;
19;0.8350811;0.5057719;0.2371858;
20;0.8350811;0.5196114;0.2675822;
21;0.816448;0.5196114;0.3344632;
22;0.8476024;0.5439975;0.3168238;
23;0.8476024;0.558336;0.3168238;
24;0.8476024;0.6099502;0.3250054;
25;0.8310726;0.6204836;0.3250054;
26;0.8310726;0.6354882;0.3886677;
27;0.8310726;0.6512499;0.3930039;
28;0.8332028;0.664951;0.3927675;
29;0.8332028;0.6938357;0.2923209;
30;0.8332028;0.7320468;0.4022486;
31;0.8332028;0.7377797;0.4556801;
32;0.8332028;0.7282923;0.4022643;
33;0.8332028;0.7359417;0.4004594;
34;0.8332028;0.7372286;0.4009168;
35;0.8417662;0.7359417;0.3587966;
36;0.8417662;0.7359417;0.3856463;
37;0.8417662;0.7243937;0.334793;
38;0.849999;0.7311961;0.4090403;
39;0.849999;0.7311961;0.3642687;
40;0.8516504;0.744622;0.3642687;
41;0.8516504;0.7448613;0.3402963;
42;0.8516504;0.7643602;0.3642687;
43;0.8421776;0.7457904;0.418314;
44;0.8481864;0.732758;0.3625942;
45;0.8532401;0.7281387;0.3245178;
46;0.86089;0.7527273;0.4381721;
47;0.86089;0.7612372;0.4381721;
48;0.86089;0.7552161;0.4008049;
49;0.86089;0.7520288;0.3806649;
50;0.86089;0.7424559;0.3218024;
51;0.86089;0.750171;0.3938701;
52;0.86089;0.7602476;0.3220714;
53;0.8526764;0.7577833;0.3220714;
54;0.8553907;0.7641738;0.3938701;
55;0.8553907;0.7602476;0.3878275;
56;0.8553907;0.7596346;0.3878275;
57;0.8535087;0.7687739;0.298124;
58;0.8584414;0.7695065;0.298124;
59;0.8584414;0.7710168;0.3916493;
60;0.8584414;0.7640718;0.3159955;
61;0.8633577;0.7535028;0.4152788;
62;0.8633577;0.7762487;0.4152788;
63;0.8675093;0.7787221;0.4097863;
64;0.8675093;0.7787221;0.4269711;
65;0.8675093;0.7669455;0.3727419;
66;0.8675093;0.766959;0.3960536;
67;0.8675093;0.7661756;0.3753405;
68;0.8675093;0.7787221;0.3753405;
69;0.8675093;0.7771305;0.2457021;
70;0.8675093;0.7988611;0.4067374;
71;0.8675093;0.7915254;0.4067374;
72;0.8675093;0.8076543;0.4067374;
73;0.8675093;0.8062273;0.3839896;
74;0.8675093;0.815371;0.313911;
75;0.8675093;0.7999192;0.4325503;
76;0.8675093;0.7999192;0.4511683;
77;0.8594722;0.7999192;0.3320708;
78;0.8594722;0.796313;0.2944251;
79;0.8594722;0.7987107;0.34316;
80;0.8594722;0.783551;0.3869316;
81;0.8664708;0.7842614;0.4197871;
82;0.8664708;0.7960204;0.3351912;
83;0.8664708;0.7980145;0.4013878;
84;0.8737227;0.7980145;0.4021784;
85;0.8737227;0.7853943;0.4021784;
86;0.8737227;0.783551;0.3952805;
87;0.8737227;0.7970313;0.3952805;
88;0.862117;0.7559351;0.3476937;
89;0.8701099;0.7765728;0.3732983;
90;0.8701099;0.7877798;0.446201;
91;0.8701099;0.7970576;0.3795098;
92;0.8706933;0.7992812;0.34925;
93;0.8805233;0.8008802;0.34925;
94;0.8805233;0.8087851;0.34925;
95;0.8805233;0.8163365;0.427292;
96;0.8706933;0.8099328;0.3985394;
97;0.8646122;0.8065658;0.3985394;
98;0.8711222;0.7912626;0.4317494;
99;0.8711222;0.7922647;0.3921743;
100;0.8711205;0.7907499;0.4179502;
101;0.8711205;0.7973629;0.4271513;
102;0.8711205;0.8076176;0.3893491;
